Package;Version
base64enc;0.1-3
bslib;0.7.0
cachem;1.1.0
cli;3.6.3
colorspace;2.1-0
crayon;1.5.3
data.table;1.15.4
digest;0.6.36
evaluate;0.24.0
fansi;1.0.6
farver;2.1.2
fastmap;1.2.0
fontawesome;0.5.2
fs;1.6.4
getopt;1.20.4
ggplot2;3.5.1
glue;1.7.0
gtable;0.3.5
highr;0.11
htmltools;0.5.8.1
irlba;2.3.5.1
isoband;0.2.7
jquerylib;0.1.4
jsonlite;1.8.8
knitr;1.48
labeling;0.4.3
lifecycle;1.0.4
magrittr;2.0.3
matrixStats;1.3.0
memoise;2.0.1
mime;0.12
mixsqp;0.3-54
munsell;0.5.1
optparse;1.7.5
pillar;1.9.0
pkgconfig;2.0.3
plyr;1.8.9
R.methodsS3;1.8.2
R.oo;1.26.0
R.utils;2.12.3
R6;2.5.1
rappdirs;0.3.3
RColorBrewer;1.1-3
Rcpp;1.0.12
RcppArmadillo;14.0.0-1
RcppProgress;0.4.2
remotes;2.5.0
reshape;0.8.9
rlang;1.1.4
rmarkdown;2.27
sass;0.4.9
scales;1.3.0
sommer;4.3.4
statgenGWAS;1.0.9
susieR;0.12.35
tibble;3.2.1
tinytex;0.51
utf8;1.2.4
vctrs;0.6.5
viridisLite;0.4.2
withr;3.0.0
xfun;0.45
yaml;2.3.9
base;4.4.1
boot;1.3-30
class;7.3-22
cluster;2.1.6
codetools;0.2-19
compiler;4.4.1
datasets;4.4.1
foreign;0.8-86
graphics;4.4.1
grDevices;4.4.1
grid;4.4.1
KernSmooth;2.23-24
lattice;0.22-5
MASS;7.3-61
Matrix;1.6-5
methods;4.4.1
mgcv;1.9-1
nlme;3.1-165
nnet;7.3-19
parallel;4.4.1
rpart;4.1.23
spatial;7.3-15
splines;4.4.1
stats;4.4.1
stats4;4.4.1
survival;3.7-0
tcltk;4.4.1
tools;4.4.1
utils;4.4.1
